Group,Team1,Team1 WC rank,Team1 WC rank points,Team1 market val.,Team1 FIFA Rank,Team1 pot,Team2,Team2 WC rank,Team2 WC rank points,Team2 market val.,Team2 FIFA Rank,Team2 pot,history with opponent W-L,history with opponent goals,result
a,Russia,11,59,145.64,65,1,Saudi Arabia,50,8,16.94,63,4,1,2,1
a,Uruguay,9,72,335.7,21,2,Egypt,65,2,177.5,31,3,-1,-2,1
b,Spain,5,99,930.6,6,2,Portugal,17,43,445.05,3,1,-12,-31,0
b,Iran,54,6,43.47,32,3,Morocco,44,10,116.51,40,4,-2,-2,1
c,Australia,46,9,45.23,39,4,France,7,96,972.45,9,1,1,6,2
c,Peru,37,15,34.67,11,2,Denmark,25,26,233.37,12,3,,,2
d,Argentina,4,140,629.1,4,1,Iceland,70,0,68.45,22,3,,,0
d,Croatia,27,23,327.6,17,2,Nigeria,32,18,121.37,50,4,,,1
e,Serbia,12,59,246.11,37,4,Costarica,29,19,36.14,26,3,,,2
e,Brazil,1,227,882.9,2,1,Switzerland,21,39,196.29,8,2,1,2,0
f,Germany,2,218,794.7,1,1,Mexico,13,56,139.14,16,2,-4,-13,2
f,Sweden,10,61,107.78,18,3,Korea,26,24,78.77,59,4,-1,-2,1
g,Belgium,14,51,678.6,5,1,Panama,70,0,7.4,56,4,,,1
g,Tunisia,52,7,52.99,27,3,England,6,98,786.6,15,2,1,2,2
h,Poland,15,50,247.1,7,1,Senegal,47,8,267.57,23,3,,,2
h,Columbia,28,23,225.99,13,2,Japan,35,16,66.6,55,4,-2,-2,2
a,Egypt,65,2,177.5,31,3,Russia,11,59,145.64,65,1,,,1
a,Uruguay,9,72,335.7,21,2,Saudi Arabia,50,8,16.94,63,4,1,1,1
b,Morocco,44,10,116.51,40,4,Portugal,17,43,445.05,3,1,-1,-2,2
b,Iran,54,6,43.47,32,3,Spain,5,99,930.6,6,2,,,2
c,Peru,37,15,34.67,11,2,France,7,96,972.45,9,1,-1,-1,2
c,Denmark,25,26,233.37,12,3,Australia,46,9,45.23,39,4,-1,-3,0
d,Croatia,27,23,327.6,17,2,Argentina,4,140,629.1,4,1,1,0,1
d,Nigeria,32,18,121.37,50,4,Iceland,70,0,68.45,22,3,1,3,1
e,Brazil,1,227,882.9,2,1,Costarica,29,19,36.14,26,3,-8,-19,1
e,Switzerland,21,39,196.29,8,2,Serbia,12,59,246.11,37,4,,,1
f,Germany,2,218,794.7,1,1,Sweden,10,61,107.78,18,3,-2,-10,1
f,Mexico,13,56,139.14,16,2,Korea,26,24,78.77,59,4,-1,-10,1
g,Belgium,14,51,678.6,5,1,Tunisia,52,7,52.99,27,3,0,0,1
g,Panama,70,0,7.4,56,4,England,6,98,786.6,15,2,,,2
h,Poland,15,50,247.1,7,1,Columbia,28,23,225.99,13,2,,,2
h,Senegal,47,8,267.57,23,3,Japan,35,16,66.6,55,4,-2,-3,0
